slot 	 sqr 	 mod 	 mul
287600 	 240 	 242 	 246
287601 	 258 	 244 	 332
287602 	 240 	 242 	 248
287603 	 270 	 250 	 582
287604 	 266 	 242 	 298
287605 	 260 	 242 	 246
287606 	 254 	 238 	 248
287607 	 248 	 398 	 294
287608 	 242 	 196 	 224
287609 	 72 	 238 	 250
287610 	 72 	 74 	 306
287611 	 262 	 76 	 268
287612 	 264 	 78 	 268
287613 	 398 	 74 	 246
287614 	 244 	 282 	 278
287615 	 264 	 296 	 244
287616 	 244 	 250 	 250
287617 	 524 	 250 	 252
287618 	 236 	 238 	 396
287619 	 264 	 246 	 244
287620 	 268 	 242 	 248
287621 	 242 	 240 	 246
287622 	 238 	 246 	 248
287623 	 264 	 244 	 250
287624 	 264 	 242 	 250
287625 	 262 	 242 	 248
287626 	 264 	 240 	 248
287627 	 266 	 242 	 1416
287628 	 242 	 242 	 248
287629 	 262 	 244 	 248
287630 	 262 	 244 	 248
287631 	 264 	 238 	 246
287632 	 264 	 240 	 250
287633 	 260 	 242 	 250
287634 	 260 	 240 	 246
287635 	 266 	 242 	 248
287636 	 260 	 240 	 242
287637 	 260 	 238 	 246
287638 	 1350 	 242 	 244
287639 	 264 	 240 	 244
287640 	 266 	 244 	 242
287641 	 262 	 246 	 246
287642 	 264 	 240 	 244
287643 	 262 	 244 	 246
287644 	 262 	 246 	 246
287645 	 262 	 240 	 244
287646 	 268 	 240 	 248
287647 	 262 	 246 	 244
287648 	 260 	 246 	 246
287649 	 466 	 244 	 246
287650 	 264 	 246 	 246
287651 	 266 	 240 	 246
287652 	 266 	 240 	 248
287653 	 264 	 240 	 248
287654 	 266 	 246 	 246
287655 	 262 	 242 	 244
287656 	 262 	 238 	 244
287657 	 266 	 242 	 250
287658 	 264 	 242 	 246
287659 	 264 	 246 	 1396
287660 	 266 	 246 	 250
287661 	 268 	 242 	 248
287662 	 260 	 240 	 248
287663 	 262 	 240 	 244
287664 	 266 	 242 	 244
287665 	 260 	 242 	 250
287666 	 268 	 242 	 242
287667 	 264 	 242 	 246
287668 	 266 	 242 	 248
287669 	 264 	 240 	 248
287670 	 1238 	 244 	 248
287671 	 268 	 244 	 246
287672 	 266 	 238 	 246
287673 	 264 	 240 	 244
287674 	 264 	 242 	 248
287675 	 260 	 240 	 250
287676 	 264 	 246 	 250
287677 	 270 	 242 	 248
287678 	 266 	 242 	 242
287679 	 266 	 244 	 248
287680 	 264 	 244 	 252
287681 	 398 	 242 	 244
287682 	 266 	 244 	 246
287683 	 258 	 246 	 252
287684 	 260 	 244 	 248
287685 	 262 	 244 	 246
287686 	 264 	 244 	 242
287687 	 264 	 242 	 246
287688 	 238 	 246 	 246
287689 	 242 	 242 	 302
287690 	 264 	 238 	 246
287691 	 244 	 240 	 1416
287692 	 264 	 240 	 250
287693 	 104 	 240 	 246
287694 	 74 	 76 	 270
287695 	 264 	 76 	 266
287696 	 268 	 76 	 272
287697 	 384 	 76 	 80
287698 	 258 	 246 	 80
287699 	 266 	 76 	 78
287700 	 262 	 80 	 270
287701 	 264 	 78 	 272
287702 	 1074 	 244 	 244
287703 	 262 	 242 	 242
287704 	 260 	 240 	 242
287705 	 266 	 242 	 248
287706 	 262 	 242 	 244
287707 	 264 	 240 	 250
287708 	 260 	 240 	 248
287709 	 266 	 244 	 248
287710 	 260 	 240 	 248
287711 	 260 	 240 	 248
287712 	 260 	 242 	 248
287713 	 266 	 244 	 244
287714 	 262 	 242 	 248
287715 	 264 	 240 	 248
287716 	 264 	 246 	 248
