390880 	 MISS 	 MISS 	 MISS
390881 	 MISS 	 MISS 	 MISS
390882 	 MISS 	 MISS 	 MISS
390883 	 HIT 	 MISS 	 MISS
390884 	 HIT 	 MISS 	 MISS
390885 	 MISS 	 HIT 	 MISS
390886 	 MISS 	 HIT 	 MISS
390887 	 MISS 	 HIT 	 MISS
390888 	 HIT 	 HIT 	 MISS
390889 	 HIT 	 MISS 	 MISS
390890 	 MISS 	 HIT 	 MISS
390891 	 MISS 	 HIT 	 MISS
390892 	 MISS 	 HIT 	 HIT
390893 	 MISS 	 MISS 	 MISS
390894 	 MISS 	 HIT 	 HIT
390895 	 MISS 	 HIT 	 MISS
390896 	 MISS 	 HIT 	 MISS
390897 	 HIT 	 HIT 	 MISS
390898 	 HIT 	 HIT 	 MISS
390899 	 MISS 	 HIT 	 MISS
390900 	 MISS 	 HIT 	 MISS
390901 	 MISS 	 HIT 	 MISS
390902 	 HIT 	 HIT 	 MISS
390903 	 MISS 	 HIT 	 MISS
390904 	 MISS 	 HIT 	 MISS
390905 	 HIT 	 HIT 	 MISS
390906 	 HIT 	 HIT 	 MISS
390907 	 MISS 	 HIT 	 MISS
390908 	 MISS 	 HIT 	 MISS
390909 	 MISS 	 MISS 	 MISS
390910 	 MISS 	 HIT 	 HIT
390911 	 MISS 	 HIT 	 MISS
390912 	 MISS 	 HIT 	 MISS
390913 	 HIT 	 HIT 	 MISS
390914 	 MISS 	 HIT 	 MISS
390915 	 MISS 	 HIT 	 MISS
390916 	 MISS 	 HIT 	 HIT
390917 	 MISS 	 HIT 	 HIT
390918 	 MISS 	 HIT 	 MISS
390919 	 MISS 	 HIT 	 MISS
390920 	 HIT 	 HIT 	 MISS
390921 	 MISS 	 HIT 	 MISS
390922 	 MISS 	 HIT 	 MISS
390923 	 MISS 	 HIT 	 HIT
390924 	 HIT 	 HIT 	 MISS
390925 	 MISS 	 HIT 	 MISS
390926 	 MISS 	 HIT 	 HIT
390927 	 HIT 	 HIT 	 HIT
390928 	 HIT 	 HIT 	 MISS
390929 	 MISS 	 HIT 	 MISS
390930 	 MISS 	 HIT 	 MISS
390931 	 HIT 	 HIT 	 HIT
390932 	 HIT 	 MISS 	 MISS
390933 	 MISS 	 HIT 	 MISS
390934 	 MISS 	 HIT 	 MISS
390935 	 MISS 	 HIT 	 HIT
390936 	 MISS 	 HIT 	 HIT
390937 	 MISS 	 HIT 	 MISS
390938 	 MISS 	 HIT 	 MISS
390939 	 HIT 	 HIT 	 MISS
390940 	 HIT 	 HIT 	 MISS
390941 	 MISS 	 HIT 	 MISS
390942 	 MISS 	 HIT 	 HIT
390943 	 MISS 	 MISS 	 MISS
390944 	 MISS 	 HIT 	 HIT
390945 	 MISS 	 HIT 	 MISS
390946 	 MISS 	 HIT 	 MISS
390947 	 HIT 	 MISS 	 MISS
390948 	 MISS 	 HIT 	 MISS
390949 	 MISS 	 HIT 	 MISS
390950 	 MISS 	 HIT 	 HIT
390951 	 HIT 	 HIT 	 MISS
390952 	 MISS 	 HIT 	 HIT
390953 	 MISS 	 HIT 	 MISS
390954 	 MISS 	 HIT 	 HIT
390955 	 MISS 	 HIT 	 HIT
390956 	 MISS 	 HIT 	 MISS
390957 	 MISS 	 HIT 	 MISS
390958 	 HIT 	 HIT 	 MISS
390959 	 MISS 	 HIT 	 MISS
390960 	 MISS 	 HIT 	 MISS
390961 	 MISS 	 HIT 	 HIT
390962 	 HIT 	 HIT 	 MISS
390963 	 MISS 	 HIT 	 MISS
390964 	 MISS 	 HIT 	 MISS
390965 	 MISS 	 HIT 	 HIT
390966 	 MISS 	 HIT 	 HIT
390967 	 MISS 	 HIT 	 MISS
390968 	 MISS 	 HIT 	 MISS
390969 	 HIT 	 HIT 	 MISS
390970 	 HIT 	 HIT 	 MISS
390971 	 MISS 	 HIT 	 HIT
390972 	 MISS 	 HIT 	 MISS
390973 	 MISS 	 HIT 	 MISS
390974 	 MISS 	 HIT 	 HIT
390975 	 MISS 	 HIT 	 MISS
390976 	 MISS 	 HIT 	 MISS
390977 	 HIT 	 HIT 	 MISS
390978 	 MISS 	 HIT 	 MISS
390979 	 MISS 	 HIT 	 MISS
390980 	 MISS 	 HIT 	 HIT
390981 	 MISS 	 HIT 	 HIT
390982 	 MISS 	 HIT 	 MISS
390983 	 MISS 	 HIT 	 MISS
390984 	 HIT 	 MISS 	 MISS
390985 	 MISS 	 HIT 	 HIT
390986 	 MISS 	 HIT 	 MISS
390987 	 HIT 	 HIT 	 HIT
390988 	 HIT 	 HIT 	 MISS
390989 	 MISS 	 HIT 	 HIT
390990 	 MISS 	 HIT 	 MISS
390991 	 MISS 	 HIT 	 MISS
