287600 	 MISS 	 MISS 	 MISS
287601 	 MISS 	 MISS 	 MISS
287602 	 MISS 	 MISS 	 MISS
287603 	 MISS 	 MISS 	 MISS
287604 	 MISS 	 MISS 	 MISS
287605 	 MISS 	 MISS 	 MISS
287606 	 MISS 	 MISS 	 MISS
287607 	 MISS 	 MISS 	 MISS
287608 	 MISS 	 MISS 	 MISS
287609 	 HIT 	 MISS 	 MISS
287610 	 HIT 	 HIT 	 MISS
287611 	 MISS 	 HIT 	 MISS
287612 	 MISS 	 HIT 	 MISS
287613 	 MISS 	 HIT 	 MISS
287614 	 MISS 	 MISS 	 MISS
287615 	 MISS 	 MISS 	 MISS
287616 	 MISS 	 MISS 	 MISS
287617 	 MISS 	 MISS 	 MISS
287618 	 MISS 	 MISS 	 MISS
287619 	 MISS 	 MISS 	 MISS
287620 	 MISS 	 MISS 	 MISS
287621 	 MISS 	 MISS 	 MISS
287622 	 MISS 	 MISS 	 MISS
287623 	 MISS 	 MISS 	 MISS
287624 	 MISS 	 MISS 	 MISS
287625 	 MISS 	 MISS 	 MISS
287626 	 MISS 	 MISS 	 MISS
287627 	 MISS 	 MISS 	 MISS
287628 	 MISS 	 MISS 	 MISS
287629 	 MISS 	 MISS 	 MISS
287630 	 MISS 	 MISS 	 MISS
287631 	 MISS 	 MISS 	 MISS
287632 	 MISS 	 MISS 	 MISS
287633 	 MISS 	 MISS 	 MISS
287634 	 MISS 	 MISS 	 MISS
287635 	 MISS 	 MISS 	 MISS
287636 	 MISS 	 MISS 	 MISS
287637 	 MISS 	 MISS 	 MISS
287638 	 MISS 	 MISS 	 MISS
287639 	 MISS 	 MISS 	 MISS
287640 	 MISS 	 MISS 	 MISS
287641 	 MISS 	 MISS 	 MISS
287642 	 MISS 	 MISS 	 MISS
287643 	 MISS 	 MISS 	 MISS
287644 	 MISS 	 MISS 	 MISS
287645 	 MISS 	 MISS 	 MISS
287646 	 MISS 	 MISS 	 MISS
287647 	 MISS 	 MISS 	 MISS
287648 	 MISS 	 MISS 	 MISS
287649 	 MISS 	 MISS 	 MISS
287650 	 MISS 	 MISS 	 MISS
287651 	 MISS 	 MISS 	 MISS
287652 	 MISS 	 MISS 	 MISS
287653 	 MISS 	 MISS 	 MISS
287654 	 MISS 	 MISS 	 MISS
287655 	 MISS 	 MISS 	 MISS
287656 	 MISS 	 MISS 	 MISS
287657 	 MISS 	 MISS 	 MISS
287658 	 MISS 	 MISS 	 MISS
287659 	 MISS 	 MISS 	 MISS
287660 	 MISS 	 MISS 	 MISS
287661 	 MISS 	 MISS 	 MISS
287662 	 MISS 	 MISS 	 MISS
287663 	 MISS 	 MISS 	 MISS
287664 	 MISS 	 MISS 	 MISS
287665 	 MISS 	 MISS 	 MISS
287666 	 MISS 	 MISS 	 MISS
287667 	 MISS 	 MISS 	 MISS
287668 	 MISS 	 MISS 	 MISS
287669 	 MISS 	 MISS 	 MISS
287670 	 MISS 	 MISS 	 MISS
287671 	 MISS 	 MISS 	 MISS
287672 	 MISS 	 MISS 	 MISS
287673 	 MISS 	 MISS 	 MISS
287674 	 MISS 	 MISS 	 MISS
287675 	 MISS 	 MISS 	 MISS
287676 	 MISS 	 MISS 	 MISS
287677 	 MISS 	 MISS 	 MISS
287678 	 MISS 	 MISS 	 MISS
287679 	 MISS 	 MISS 	 MISS
287680 	 MISS 	 MISS 	 MISS
287681 	 MISS 	 MISS 	 MISS
287682 	 MISS 	 MISS 	 MISS
287683 	 MISS 	 MISS 	 MISS
287684 	 MISS 	 MISS 	 MISS
287685 	 MISS 	 MISS 	 MISS
287686 	 MISS 	 MISS 	 MISS
287687 	 MISS 	 MISS 	 MISS
287688 	 MISS 	 MISS 	 MISS
287689 	 MISS 	 MISS 	 MISS
287690 	 MISS 	 MISS 	 MISS
287691 	 MISS 	 MISS 	 MISS
